time;quick;merge;heap;intro
10000000;2758981200;3339476400;4752054500;2708541600
11000000;2975053800;3613497500;5150940600;2884323100
12000000;3342758100;4017360500;5637960500;3217438500
13000000;3646074300;4335535700;6354636700;3558561200
14000000;3858607900;4491767700;6829506000;3681142000
15000000;4161444400;5033090500;7378979400;4042353000
16000000;4487802500;5332213900;7960646200;4430077900
17000000;4568399800;5713461700;8484441500;4612886400
18000000;5100684800;6057332700;9085946400;4986582700
19000000;5239197300;6537572600;9376821600;5098721000
20000000;5516131600;6687277600;9871553400;5255552500
21000000;5845608500;7244681400;11142870800;5915861300
22000000;6167188500;7496164700;11328351000;6037124200
23000000;6336084800;7773827200;11689008100;6325617400
24000000;6727682100;8113161900;12322426900;6622407200
25000000;6957542800;8420843200;12457712100;6839377900
26000000;7188857200;8781197000;13009871100;7045065500
27000000;7496525000;9047365200;13712915100;7466751200
28000000;7703846100;9417264900;14365471200;7689455900
29000000;8117403300;9962255400;15553611900;8105986200
30000000;8434228700;10391039200;15595856500;8405812000
31000000;8696738600;10484826100;15791944000;8490502000
32000000;8916246500;10993084600;16513330200;8909249000
33000000;9245100100;11434030700;17848655900;9118633200
34000000;9577521500;11691519000;17867940300;9343827000
35000000;9893497200;12082967300;18980773200;9673110200
36000000;10400165000;12540240900;19183475600;9976088400
37000000;10475815200;12804162300;19977402100;10024075900
38000000;10636720100;12894217700;19951996700;10571008300
39000000;11036717700;13342212900;20649223800;10921140700
40000000;11282593800;14299945200;21920298100;11070556800
41000000;11467137000;14120309400;22064340100;11220608800
42000000;11906941400;14548194200;22337256300;11627289400
