time;quick;merge;heap;intro
0;25000;5027000;37800;24200
10000;1828200;2652300;2274900;5798200
20000;8698100;3395000;9171100;10091200
30000;7805600;9199900;8295800;7888600
40000;10526000;12923100;14023700;9285500
50000;13581000;15639500;16615500;13562400
60000;16410000;19060200;19912100;15666200
70000;18645800;21189000;23943300;17821500
80000;21373100;24162200;28173400;20789600
90000;25150100;27551300;32983700;22349000
100000;23983700;28718400;32538100;21853600
110000;27740000;33026200;37210200;25425900
120000;30653400;35511300;40657100;27812400
130000;32776000;38513000;43040500;32152500
140000;35072400;41139000;46987800;32484800
150000;36904100;45857200;50074300;35380500
160000;39418300;47422700;54726900;36629900
170000;45291600;52987100;53393800;41568000
180000;46439400;57272700;62748300;45324700
190000;47230300;57019000;66620100;42735800
200000;50690800;60380400;67438100;49373900
210000;50889800;71213900;77824000;50115500
220000;53576900;63423600;72295800;50979200
230000;54517900;67031100;77545200;55520900
240000;58930000;70638400;79055000;55106400
250000;63470600;71465400;87050400;61433700
260000;64258300;71110000;89828600;63354200
270000;64440500;79126600;91578300;63780600
280000;68632500;77555800;96597100;62931600
290000;72847500;84959200;98873000;65876500
300000;77245000;92837000;101269300;73201500
310000;60042200;82295800;66292700;70446000
320000;80591900;96703000;108136100;78309900
330000;78152400;102058300;115561900;81890500
340000;83738400;103402600;123507000;84654700
350000;83368700;100826600;117660300;76107700
360000;81443800;97395300;80787300;79548700
370000;45824100;98038400;116284900;79799100
380000;86847500;56047800;122043800;64112200
390000;88318800;54580100;125998900;82055300
400000;62948700;107653000;130034800;89390500
410000;100967000;120757900;133083800;82684100
420000;60231800;115572500;135538800;91868800
430000;89751500;66387500;129996800;85262600
440000;98124600;121113000;102454400;96449600
450000;103209200;125316600;113143000;99857300
460000;57847700;123989400;147692700;99923900
470000;63499100;132792200;156745100;103726000
480000;65566900;129499800;159130300;106992400
490000;110356500;141370200;110826200;114748000
500000;77845800;139432200;161127900;112728500
510000;117248400;144624300;168492000;77904600
520000;123823200;149050400;165929600;88690500
530000;123741900;152405700;168160600;81532800
540000;120824400;99574900;174006000;116822300
550000;131900800;112938500;188850000;112107400
560000;129414800;113428800;176949400;124922800
570000;128817600;115552400;184626500;123230300
580000;130359800;117652100;191088000;123842700
590000;126086700;164614800;195245000;90560400
600000;140723600;169498400;160356800;88902600
610000;140457600;177268300;189269700;140808900
620000;143102800;174507900;175923300;141325600
630000;147345000;182154700;216884400;103768400
640000;114091900;177890100;216451400;115894700
650000;111608500;176445900;216505500;146360600
660000;148096600;183785600;220612900;102412700
670000;158841700;191312900;223660400;117792200
680000;146922500;139238800;228137600;155999100
690000;159615400;196787100;223082900;116653600
700000;186613200;212594700;256624400;182768200
710000;164677200;199678800;239650200;123897500
720000;181962800;212874600;251113600;176198300
730000;140338900;208726600;248064400;166830400
740000;172735600;206447000;249933700;137346700
750000;168227500;197847300;173288500;163012100
760000;180860900;219664000;263174000;130020200
770000;181641700;218490200;211319700;179571200
780000;181216600;220314300;262683500;135089100
790000;184901300;194087500;248049700;179428400
800000;169349500;238701300;273491200;194808400
810000;161405000;227822800;258433800;184355100
820000;163132100;233386700;277272100;188887300
830000;198843600;208842400;271207300;195021400
840000;149633100;242117600;286454300;188596500
850000;203381400;221316700;280261500;196958200
860000;162074400;247118100;300748600;200165900
870000;209491600;260666000;314279700;172329600
880000;209007200;258708100;250646600;201877600
890000;222158100;264721100;311458100;217378800
